Date,Open,High,Low,Close,Adj Close,Volume
2022-07-25,2030.000000,2069.000000,2002.500000,2069.000000,2030.716431,26203536
2022-07-26,2096.500000,2124.023926,2085.500000,2086.500000,2047.892578,17920505
2022-07-27,2095.500000,2124.500000,2082.000000,2117.500000,2078.318848,19303750
2022-07-28,2164.000000,2164.000000,2114.500000,2124.000000,2084.698730,24750288
2022-07-29,2124.000000,2189.500000,2112.000000,2179.000000,2138.680908,16790328
2022-08-01,2176.500000,2195.500000,2132.862061,2136.000000,2096.476563,12319491
2022-08-02,2139.500000,2177.500000,2137.000000,2166.000000,2125.921631,49102639
2022-08-03,2168.000000,2206.500000,2148.274902,2170.500000,2130.338379,12973636
2022-08-04,2162.500000,2192.000000,2130.000000,2132.500000,2093.041504,26244180
2022-08-05,2104.000000,2165.000000,2093.000000,2150.000000,2110.217529,25367536
2022-08-08,2160.500000,2185.000000,2147.709961,2161.500000,2121.504883,10493854
2022-08-09,2152.500000,2209.500000,2146.500000,2184.500000,2144.079102,21369922
2022-08-10,2173.500000,2197.000000,2144.000000,2169.500000,2129.356934,12399545
2022-08-11,2167.000000,2216.500000,2161.500000,2213.500000,2194.359863,15811160
2022-08-12,2207.500000,2240.250000,2198.200928,2215.000000,2195.846924,11094503
2022-08-15,2227.000000,2229.000000,2140.500000,2182.000000,2163.132324,17089466
2022-08-16,2193.000000,2201.000000,2167.500000,2168.500000,2149.749023,31593894
2022-08-17,2183.500000,2198.000000,2155.750000,2182.000000,2163.132324,17541564
2022-08-18,2195.000000,2217.500000,2180.000000,2217.500000,2198.325439,15211830
2022-08-19,2219.000000,2260.000000,2205.500000,2248.500000,2229.057373,17288683
2022-08-22,2221.500000,2262.000000,2212.500000,2244.000000,2224.596191,11765513
2022-08-23,2244.500000,2321.500000,2240.000000,2317.500000,2297.460693,17854461
2022-08-24,2317.500000,2324.000000,2289.000000,2292.500000,2272.676758,22734276
2022-08-25,2320.500000,2339.000000,2305.500000,2320.500000,2300.434814,16967703
2022-08-26,2328.000000,2346.000000,2314.000000,2334.000000,2313.817871,40379689
2022-08-30,2366.500000,2393.500000,2317.500000,2339.500000,2319.270508,20945943
2022-08-31,2331.000000,2343.500000,2238.125000,2290.000000,2270.198486,52745247
2022-09-01,2283.000000,2296.500000,2251.825928,2273.000000,2253.345459,14886879
2022-09-02,2305.500000,2336.000000,2285.500000,2324.000000,2303.904541,13297146
2022-09-05,2325.500000,2366.500000,2312.489014,2348.000000,2327.697021,10174681
2022-09-06,2336.500000,2343.000000,2286.500000,2308.500000,2288.538574,14147385
2022-09-07,2285.000000,2315.941895,2240.500000,2263.000000,2243.431885,18633719
2022-09-08,2266.000000,2293.000000,2249.000000,2270.000000,2250.371338,15522846
2022-09-09,2281.500000,2317.500000,2279.531982,2300.000000,2280.112061,16834428
2022-09-12,2329.500000,2340.125977,2305.000000,2321.500000,2301.426025,28389401
2022-09-13,2318.500000,2351.500000,2307.500000,2327.500000,2307.374268,14142044
2022-09-14,2306.000000,2354.000000,2284.500000,2341.000000,2320.757568,18298486
2022-09-15,2340.000000,2365.500000,2307.600098,2314.500000,2294.486572,13849101
2022-09-16,2318.500000,2341.000000,2281.500000,2296.500000,2276.642334,78571648
2022-09-20,2315.000000,2351.000000,2290.000000,2302.500000,2282.590332,21934237
2022-09-21,2322.000000,2372.000000,2317.875000,2335.000000,2314.809326,20653671
2022-09-22,2326.500000,2365.000000,2313.000000,2338.500000,2318.279053,13684030
2022-09-23,2323.500000,2324.500000,2198.000000,2214.500000,2195.351318,22627001
2022-09-26,2186.500000,2231.000000,2158.500000,2211.500000,2192.377197,22555444
2022-09-27,2199.000000,2268.104980,2186.500000,2243.500000,2224.100586,22128397
2022-09-28,2215.500000,2275.500000,2187.000000,2261.000000,2241.449219,14687171
2022-09-29,2261.500000,2271.500000,2219.500000,2241.500000,2222.117920,17127418
2022-09-30,2252.500000,2282.000000,2228.500000,2246.500000,2227.074707,16698217
2022-10-03,2255.000000,2315.500000,2247.500000,2299.500000,2279.616211,15578724
2022-10-04,2328.500000,2356.500000,2288.500000,2338.000000,2317.783447,17764788
2022-10-05,2340.000000,2387.000000,2295.000000,2378.500000,2357.933105,30943323
2022-10-06,2320.000000,2325.000000,2259.000000,2312.000000,2292.008301,19805108
2022-10-07,2291.500000,2360.500000,2291.500000,2345.500000,2325.218506,21076604
2022-10-10,2336.000000,2364.594971,2317.500000,2327.500000,2307.374268,15530139
2022-10-11,2316.500000,2316.500000,2272.123047,2286.000000,2266.233154,18042707
2022-10-12,2289.000000,2315.000000,2254.000000,2269.000000,2249.380127,13943711
2022-10-13,2268.500000,2315.000000,2235.500000,2302.500000,2282.590332,21598452
2022-10-14,2310.500000,2322.031006,2258.000000,2270.000000,2250.371338,23297522
2022-10-17,2266.000000,2296.500000,2257.500000,2266.500000,2246.901611,21569202
2022-10-18,2291.500000,2300.000000,2247.000000,2253.000000,2233.518311,21030606
2022-10-19,2272.500000,2280.803955,2233.242920,2273.000000,2253.345459,19270617
2022-10-20,2311.500000,2333.000000,2292.000000,2320.000000,2299.938965,25929738
2022-10-21,2315.500000,2346.000000,2305.500000,2344.000000,2323.731445,10811624
2022-10-24,2295.500000,2359.500000,2267.000000,2345.000000,2324.722900,22589948
2022-10-25,2341.500000,2341.500000,2288.354980,2289.500000,2269.702881,9019155
2022-10-26,2296.000000,2306.168945,2266.000000,2299.500000,2279.616211,27377459
2022-10-27,2292.500000,2438.500000,2292.500000,2425.000000,2404.031006,49820659
2022-10-28,2387.000000,2453.000000,2384.500000,2418.500000,2397.587402,30611548
2022-10-31,2395.000000,2433.738037,2363.500000,2404.000000,2383.212646,33217314
2022-11-01,2437.000000,2470.000000,2431.000000,2454.000000,2432.780273,28203710
2022-11-02,2444.000000,2463.500000,2410.000000,2428.000000,2407.005127,15674188
2022-11-03,2414.500000,2496.500000,2404.000000,2491.500000,2469.956055,11069027
2022-11-04,2502.500000,2557.000000,2488.500000,2526.500000,2504.653564,13249089
2022-11-07,2486.000000,2527.000000,2480.000000,2501.000000,2479.374023,16388492
2022-11-08,2478.000000,2483.000000,2436.000000,2438.000000,2416.918701,41463115
2022-11-09,2442.000000,2444.000000,2378.500000,2383.500000,2362.889893,11171252
2022-11-10,2333.500000,2387.500000,2315.000000,2315.000000,2315.000000,15708580
2022-11-11,2315.000000,2372.475098,2293.000000,2360.000000,2360.000000,11919170
2022-11-14,2350.000000,2369.500000,2326.500000,2358.000000,2358.000000,17025226
2022-11-15,2340.500000,2375.000000,2334.500000,2375.000000,2375.000000,16664848
2022-11-16,2388.500000,2419.500000,2364.500000,2370.500000,2370.500000,17282498
2022-11-17,2348.500000,2378.500000,2342.500000,2364.500000,2364.500000,13336671
2022-11-18,2389.000000,2400.000000,2321.500000,2344.500000,2344.500000,24845761
2022-11-21,2344.500000,2351.000000,2268.500000,2272.500000,2272.500000,15191057
2022-11-22,2328.000000,2382.500000,2322.500000,2382.500000,2382.500000,24780554
2022-11-23,2399.000000,2422.500000,2342.500000,2356.500000,2356.500000,28366371
2022-11-24,2356.500000,2371.000000,2335.500000,2342.500000,2342.500000,7747763
